id,institution,degree,period
1,"VELLORE INSTITUTE OF TECHNOLOGY, CHENNAI","B.Tech - CSE Core|CGPA: 9.33/10 (as of second semester)","2024-2028"
2,"SRI KANCHI MAHASWAMI VIDYA MANDIR (CBSE)","Class 12 - 94.8%|Class 10 - 94.2%","2012-2024"
